Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
Serial Number:,MY62160698,,-2.4296875,0.0195312523283064,
Firmware Version:,02.65.2021030741,,-2.4295875,0.0400390672730282,
Start Time:,2023-06-21 15:27:48.746,,-2.4294875,0.0400390672730282,
Capture#:,7,,-2.4293875,0.0400390672730282,
,,,-2.4292875,0.0400390672730282,
,,,-2.4291875,0.0400390672730282,
,,,-2.4290875,0.0400390672730282,
,,,-2.4289875,0.0400390672730282,
,,,-2.4288875,0.0595703196013346,
,,,-2.4287875,0.0595703196013346,
,,,-2.4286875,0.0800781345460564,
,,,-2.4285875,0.0595703196013346,
,,,-2.4284875,0.0800781345460564,
,,,-2.4283875,0.0595703196013346,
,,,-2.4282875,0.0800781345460564,
,,,-2.4281875,0.0595703196013346,
,,,-2.4280875,0.0595703196013346,
,,,-2.4279875,0.0595703196013346,
,,,-2.4278875,0.0800781345460564,
,,,-2.4277875,0.0800781345460564,
,,,-2.4276875,0.0595703196013346,
,,,-2.4275875,0.0800781345460564,
,,,-2.4274875,0.0800781345460564,
,,,-2.4273875,0.0800781345460564,
,,,-2.4272875,0.0996093868743628,
,,,-2.4271875,0.0996093868743628,
,,,-2.4270875,0.0800781345460564,
,,,-2.4269875,0.120117201819085,
,,,-2.4268875,0.0800781345460564,
,,,-2.4267875,0.0996093868743628,
,,,-2.4266875,0.0996093868743628,
,,,-2.4265875,0.0996093868743628,
,,,-2.4264875,0.0996093868743628,
,,,-2.4263875,0.120117201819085,
,,,-2.4262875,0.0800781345460564,
,,,-2.4261875,0.0996093868743628,
,,,-2.4260875,0.0996093868743628,
,,,-2.4259875,0.0800781345460564,
,,,-2.4258875,0.120117201819085,
,,,-2.4257875,0.0996093868743628,
,,,-2.4256875,0.0996093868743628,
,,,-2.4255875,0.0996093868743628,
,,,-2.4254875,0.0996093868743628,
,,,-2.4253875,0.0996093868743628,
,,,-2.4252875,0.120117201819085,
,,,-2.4251875,0.0996093868743628,
,,,-2.4250875,0.0800781345460564,
,,,-2.4249875,0.120117201819085,
,,,-2.4248875,0.0996093868743628,
,,,-2.4247875,0.0800781345460564,
,,,-2.4246875,0.0800781345460564,
,,,-2.4245875,0.0800781345460564,
,,,-2.4244875,0.0996093868743628,
,,,-2.4243875,0.0996093868743628,
,,,-2.4242875,0.0800781345460564,
,,,-2.4241875,0.0800781345460564,
,,,-2.4240875,0.0800781345460564,
,,,-2.4239875,0.0800781345460564,
,,,-2.4238875,0.0800781345460564,
,,,-2.4237875,0.0800781345460564,
,,,-2.4236875,0.0800781345460564,
,,,-2.4235875,0.0595703196013346,
,,,-2.4234875,0.0595703196013346,
,,,-2.4233875,0.0595703196013346,
,,,-2.4232875,0.0595703196013346,
,,,-2.4231875,0.0400390672730282,
,,,-2.4230875,0.0595703196013346,
,,,-2.4229875,0.0595703196013346,
,,,-2.4228875,0.0595703196013346,
,,,-2.4227875,0.0595703196013346,
,,,-2.4226875,0.0595703196013346,
,,,-2.4225875,0.0400390672730282,
,,,-2.4224875,0.0400390672730282,
,,,-2.4223875,0.0195312523283064,
,,,-2.4222875,0.0400390672730282,
,,,-2.4221875,0.0400390672730282,
,,,-2.4220875,0.0400390672730282,
,,,-2.4219875,0.0400390672730282,
,,,-2.4218875,0.0195312523283064,
,,,-2.4217875,0.0195312523283064,
,,,-2.4216875,0,
,,,-2.4215875,0.0195312523283064,
,,,-2.4214875,0.0195312523283064,
,,,-2.4213875,0,
,,,-2.4212875,0,
,,,-2.4211875,0,
,,,-2.4210875,0.0195312523283064,
,,,-2.4209875,-0.0205078149447218,
,,,-2.4208875,-0.0205078149447218,
,,,-2.4207875,-0.0205078149447218,
,,,-2.4206875,0,
,,,-2.4205875,-0.0205078149447218,
,,,-2.4204875,-0.0205078149447218,
,,,-2.4203875,-0.0205078149447218,
,,,-2.4202875,-0.0205078149447218,
,,,-2.4201875,0,
,,,-2.4200875,-0.0205078149447218,
,,,-2.4199875,-0.0410156298894435,
