Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
Serial Number:,MY62160698,,-0.996875,-1.92187477089465,
Firmware Version:,02.65.2021030741,,-0.996843,-1.92187477089465,
Start Time:,2023-07-05 14:29:16.758,,-0.996811,-1.92187477089465,
Capture#:,3,,-0.996779,-1.92187477089465,
,,,-0.996747,-1.92187477089465,
,,,-0.996715,-1.92187477089465,
,,,-0.996683,-1.92187477089465,
,,,-0.996651,-1.92187477089465,
,,,-0.996619,-1.92187477089465,
,,,-0.996587,-1.92187477089465,
,,,-0.996555,-1.92187477089465,
,,,-0.996523,-1.92187477089465,
,,,-0.996491,-1.92187477089465,
,,,-0.996459,-1.92187477089465,
,,,-0.996427,-1.92187477089465,
,,,-0.996395,-1.92187477089465,
,,,-0.996363,-1.92187477089465,
,,,-0.996331,-1.92187477089465,
,,,-0.996299,-1.92187477089465,
,,,-0.996267,-1.92187477089465,
,,,-0.996235,-1.92187477089465,
,,,-0.996203,-1.92187477089465,
,,,-0.996171,-1.92187477089465,
,,,-0.996139,-1.92187477089465,
,,,-0.996107,-1.92187477089465,
,,,-0.996075,-1.92187477089465,
,,,-0.996043,-1.92187477089465,
,,,-0.996011,-1.92187477089465,
,,,-0.995979,-1.92187477089465,
,,,-0.995947,-1.92187477089465,
,,,-0.995915,-1.92187477089465,
,,,-0.995883,-1.92187477089465,
,,,-0.995851,-1.92187477089465,
,,,-0.995819,-1.92187477089465,
,,,-0.995787,-1.92187477089465,
,,,-0.995755,-1.92187477089465,
,,,-0.995723,-1.92187477089465,
,,,-0.995691,-1.92187477089465,
,,,-0.995659,-1.92187477089465,
,,,-0.995627,-1.92187477089465,
,,,-0.995595,-1.92187477089465,
,,,-0.995563,-1.92187477089465,
,,,-0.995531,-1.92187477089465,
,,,-0.995499,-1.92187477089465,
,,,-0.995467,-1.92187477089465,
,,,-0.995435,-1.92187477089465,
,,,-0.995403,-1.92187477089465,
,,,-0.995371,-1.92187477089465,
,,,-0.995339,-1.92187477089465,
,,,-0.995307,-1.92187477089465,
,,,-0.995275,-1.92187477089465,
,,,-0.995243,-1.92187477089465,
,,,-0.995211,-1.92187477089465,
,,,-0.995179,-1.92187477089465,
,,,-0.995147,-1.92187477089465,
,,,-0.995115,-1.92187477089465,
,,,-0.995083,-1.92187477089465,
,,,-0.995051,-1.92187477089465,
,,,-0.995019,-1.92187477089465,
,,,-0.994987,-1.92187477089465,
,,,-0.994955,-1.92187477089465,
,,,-0.994923,-1.92187477089465,
,,,-0.994891,-1.92187477089465,
,,,-0.994859,-1.92187477089465,
,,,-0.994827,-1.92187477089465,
,,,-0.994795,-1.92187477089465,
,,,-0.994763,-1.92187477089465,
,,,-0.994731,-1.92187477089465,
,,,-0.994699,-1.92187477089465,
,,,-0.994667,-1.92187477089465,
,,,-0.994635,-1.92187477089465,
,,,-0.994603,-1.88281227555126,
,,,-0.994571,-1.80273416009732,
,,,-0.994539,-1.72265604464337,
,,,-0.994507,-1.56249981373549,
,,,-0.994475,-1.56249981373549,
,,,-0.994443,-1.50195294595324,
,,,-0.994411,-1.4023435828276,
,,,-0.994379,-1.34179671504535,
,,,-0.994347,-1.22265610424802,
,,,-0.994315,-1.20117173180915,
,,,-0.994283,-1.12109361635521,
,,,-0.994251,-1.06249987334013,
,,,-0.994219,-1.08203112101182,
,,,-0.994187,-0.902343642432243,
,,,-0.994155,-0.960937385447323,
,,,-0.994123,-0.960937385447323,
,,,-0.994091,-0.781249906867743,
,,,-0.994059,-0.781249906867743,
,,,-0.994027,-0.781249906867743,
,,,-0.993995,-0.761718659196049,
,,,-0.993963,-0.742187411524355,
,,,-0.993931,-0.681640543742105,
,,,-0.993899,-0.640624923631549,
,,,-0.993867,-0.582031180616468,
,,,-0.993835,-0.541015560505912,
,,,-0.993803,-0.521484312834218,
,,,-0.993771,-0.460937445051968,
,,,-0.993739,-0.361328081926331,
,,,-0.993707,-0.400390577269718,
,,,-0.993675,-0.361328081926331,
,,,-0.993643,-0.320312461815774,
,,,-0.993611,-0.300781214144081,
,,,-0.993579,-0.281249966472387,
,,,-0.993547,-0.220703098690137,
,,,-0.993515,-0.201171851018444,
,,,-0.993483,-0.240234346361831,
,,,-0.993451,-0.140624983236194,
,,,-0.993419,-0.0410156201105565,
,,,-0.993387,-0.06054686778225,
,,,-0.993355,-0.06054686778225,
,,,-0.993323,0.138671858469024,
,,,-0.993291,0.0800781154539436,
,,,-0.993259,0.0800781154539436,
,,,-0.993227,0.0195312476716936,
,,,-0.993195,0.0585937430150807,
,,,-0.993163,0.119140610797331,
,,,-0.993131,0.0996093631256372,
,,,-0.993099,0.0390624953433871,
,,,-0.993067,0.179687478579581,
,,,-0.993035,0.179687478579581,
,,,-0.993003,0.298828089376912,
,,,-0.992971,0.378906204830855,
,,,-0.992939,0.378906204830855,
,,,-0.992907,0.359374957159162,
,,,-0.992875,0.499999940395355,
,,,-0.992843,0.439453072613105,
,,,-0.992811,0.439453072613105,
,,,-0.992779,0.458984320284799,
,,,-0.992747,0.458984320284799,
,,,-0.992715,0.458984320284799,
,,,-0.992683,0.439453072613105,
,,,-0.992651,0.458984320284799,
,,,-0.992619,0.499999940395355,
,,,-0.992587,0.480468692723662,
,,,-0.992555,0.480468692723662,
,,,-0.992523,0.480468692723662,
,,,-0.992491,0.480468692723662,
,,,-0.992459,0.458984320284799,
,,,-0.992427,0.458984320284799,
,,,-0.992395,0.480468692723662,
,,,-0.992363,0.458984320284799,
,,,-0.992331,0.458984320284799,
,,,-0.992299,0.458984320284799,
,,,-0.992267,0.499999940395355,
,,,-0.992235,0.419921824941412,
,,,-0.992203,0.439453072613105,
,,,-0.992171,0.439453072613105,
,,,-0.992139,0.439453072613105,
,,,-0.992107,0.439453072613105,
,,,-0.992075,0.439453072613105,
,,,-0.992043,0.439453072613105,
,,,-0.992011,0.400390577269718,
,,,-0.991979,0.419921824941412,
,,,-0.991947,0.458984320284799,
,,,-0.991915,0.400390577269718,
,,,-0.991883,0.378906204830855,
,,,-0.991851,0.400390577269718,
,,,-0.991819,0.400390577269718,
,,,-0.991787,0.400390577269718,
,,,-0.991755,0.419921824941412,
,,,-0.991723,0.419921824941412,
,,,-0.991691,0.419921824941412,
,,,-0.991659,0.419921824941412,
,,,-0.991627,0.439453072613105,
,,,-0.991595,0.400390577269718,
,,,-0.991563,0.419921824941412,
,,,-0.991531,0.400390577269718,
,,,-0.991499,0.378906204830855,
,,,-0.991467,0.419921824941412,
,,,-0.991435,0.400390577269718,
,,,-0.991403,0.378906204830855,
,,,-0.991371,0.359374957159162,
,,,-0.991339,0.378906204830855,
,,,-0.991307,0.378906204830855,
,,,-0.991275,0.378906204830855,
,,,-0.991243,0.378906204830855,
,,,-0.991211,0.378906204830855,
,,,-0.991179,0.378906204830855,
,,,-0.991147,0.400390577269718,
,,,-0.991115,0.359374957159162,
,,,-0.991083,0.359374957159162,
,,,-0.991051,0.378906204830855,
,,,-0.991019,0.359374957159162,
,,,-0.990987,0.378906204830855,
,,,-0.990955,0.359374957159162,
,,,-0.990923,0.339843709487468,
,,,-0.990891,0.359374957159162,
,,,-0.990859,0.339843709487468,
,,,-0.990827,0.359374957159162,
,,,-0.990795,0.320312461815774,
,,,-0.990763,0.339843709487468,
,,,-0.990731,0.339843709487468,
,,,-0.990699,0.339843709487468,
,,,-0.990667,0.339843709487468,
,,,-0.990635,0.359374957159162,
,,,-0.990603,0.320312461815774,
,,,-0.990571,0.339843709487468,
,,,-0.990539,0.298828089376912,
,,,-0.990507,0.339843709487468,
,,,-0.990475,0.339843709487468,
,,,-0.990443,0.320312461815774,
,,,-0.990411,0.320312461815774,
,,,-0.990379,0.339843709487468,
,,,-0.990347,0.320312461815774,
,,,-0.990315,0.298828089376912,
,,,-0.990283,0.298828089376912,
,,,-0.990251,0.320312461815774,
,,,-0.990219,0.320312461815774,
,,,-0.990187,0.320312461815774,
,,,-0.990155,0.298828089376912,
,,,-0.990123,0.279296841705218,
,,,-0.990091,0.339843709487468,
,,,-0.990059,0.320312461815774,
,,,-0.990027,0.320312461815774,
,,,-0.989995,0.298828089376912,
,,,-0.989963,0.320312461815774,
,,,-0.989931,0.320312461815774,
,,,-0.989899,0.298828089376912,
,,,-0.989867,0.298828089376912,
,,,-0.989835,0.298828089376912,
,,,-0.989803,0.298828089376912,
,,,-0.989771,0.298828089376912,
,,,-0.989739,0.279296841705218,
,,,-0.989707,0.320312461815774,
