Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
Serial Number:,MY62160698,,-0.996875,0.0398437446565367,
Firmware Version:,02.65.2021030741,,-0.996843,0.0398437446565367,
Start Time:,2023-07-05 14:25:04.160,,-0.996811,0.0199218723282684,
Capture#:,1,,-0.996779,0.0199218723282684,
,,,-0.996747,0.0199218723282684,
,,,-0.996715,0.0398437446565367,
,,,-0.996683,0.0199218723282684,
,,,-0.996651,0.0398437446565367,
,,,-0.996619,0,
,,,-0.996587,0.0398437446565367,
,,,-0.996555,0.0398437446565367,
,,,-0.996523,0.0199218723282684,
,,,-0.996491,0.0199218723282684,
,,,-0.996459,0,
,,,-0.996427,0.0398437446565367,
,,,-0.996395,0.0398437446565367,
,,,-0.996363,0.0398437446565367,
,,,-0.996331,0.0199218723282684,
,,,-0.996299,0.0398437446565367,
,,,-0.996267,0.0199218723282684,
,,,-0.996235,0.0199218723282684,
,,,-0.996203,0,
,,,-0.996171,0.0199218723282684,
,,,-0.996139,0.0398437446565367,
,,,-0.996107,0.0398437446565367,
,,,-0.996075,0.0398437446565367,
,,,-0.996043,0.0398437446565367,
,,,-0.996011,0.0398437446565367,
,,,-0.995979,0,
,,,-0.995947,0.0398437446565367,
,,,-0.995915,0.0398437446565367,
,,,-0.995883,0.0199218723282684,
,,,-0.995851,0.0199218723282684,
,,,-0.995819,0,
,,,-0.995787,0.0199218723282684,
,,,-0.995755,0.0199218723282684,
,,,-0.995723,0.0398437446565367,
,,,-0.995691,0.0199218723282684,
,,,-0.995659,0.0398437446565367,
,,,-0.995627,0.0398437446565367,
,,,-0.995595,0.0398437446565367,
,,,-0.995563,0.0199218723282684,
,,,-0.995531,0.0398437446565367,
,,,-0.995499,0.0199218723282684,
,,,-0.995467,0.0398437446565367,
,,,-0.995435,0,
,,,-0.995403,0.0199218723282684,
,,,-0.995371,0.0199218723282684,
,,,-0.995339,0.0199218723282684,
,,,-0.995307,0,
,,,-0.995275,0.0199218723282684,
,,,-0.995243,0.0199218723282684,
,,,-0.995211,0.0199218723282684,
,,,-0.995179,0.0398437446565367,
,,,-0.995147,0.0398437446565367,
,,,-0.995115,0.0199218723282684,
,,,-0.995083,0.0199218723282684,
,,,-0.995051,0.0199218723282684,
,,,-0.995019,0.0199218723282684,
,,,-0.994987,0.0199218723282684,
,,,-0.994955,0.0199218723282684,
,,,-0.994923,0.0199218723282684,
,,,-0.994891,0.0398437446565367,
,,,-0.994859,0.0199218723282684,
,,,-0.994827,0.0199218723282684,
,,,-0.994795,0.0199218723282684,
