Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
Serial Number:,MY62160698,,-0.996875,-1.92187477089465,
Firmware Version:,02.65.2021030741,,-0.996843,-1.92187477089465,
Start Time:,2023-07-05 14:32:30.087,,-0.996811,-1.92187477089465,
Capture#:,3,,-0.996779,-1.92187477089465,
,,,-0.996747,-1.92187477089465,
,,,-0.996715,-1.92187477089465,
,,,-0.996683,-1.92187477089465,
,,,-0.996651,-1.92187477089465,
,,,-0.996619,-1.92187477089465,
,,,-0.996587,-1.92187477089465,
,,,-0.996555,-1.92187477089465,
,,,-0.996523,-1.92187477089465,
,,,-0.996491,-1.92187477089465,
,,,-0.996459,-1.92187477089465,
,,,-0.996427,-1.92187477089465,
,,,-0.996395,-1.92187477089465,
,,,-0.996363,-1.92187477089465,
,,,-0.996331,-1.92187477089465,
,,,-0.996299,-1.92187477089465,
,,,-0.996267,-1.92187477089465,
,,,-0.996235,-1.92187477089465,
,,,-0.996203,-1.92187477089465,
,,,-0.996171,-1.92187477089465,
,,,-0.996139,-1.92187477089465,
,,,-0.996107,-1.92187477089465,
,,,-0.996075,-1.92187477089465,
,,,-0.996043,-1.92187477089465,
,,,-0.996011,-1.92187477089465,
,,,-0.995979,-1.92187477089465,
,,,-0.995947,-1.92187477089465,
,,,-0.995915,-1.92187477089465,
,,,-0.995883,-1.92187477089465,
,,,-0.995851,-1.92187477089465,
,,,-0.995819,-1.92187477089465,
,,,-0.995787,-1.92187477089465,
,,,-0.995755,-1.92187477089465,
,,,-0.995723,-1.92187477089465,
,,,-0.995691,-1.92187477089465,
,,,-0.995659,-1.92187477089465,
,,,-0.995627,-1.92187477089465,
,,,-0.995595,-1.92187477089465,
,,,-0.995563,-1.92187477089465,
,,,-0.995531,-1.92187477089465,
,,,-0.995499,-1.92187477089465,
,,,-0.995467,-1.92187477089465,
,,,-0.995435,-1.92187477089465,
,,,-0.995403,-1.92187477089465,
,,,-0.995371,-1.92187477089465,
,,,-0.995339,-1.92187477089465,
,,,-0.995307,-1.92187477089465,
,,,-0.995275,-1.92187477089465,
,,,-0.995243,-1.92187477089465,
,,,-0.995211,-1.92187477089465,
,,,-0.995179,-1.92187477089465,
,,,-0.995147,-1.92187477089465,
,,,-0.995115,-1.92187477089465,
,,,-0.995083,-1.92187477089465,
,,,-0.995051,-1.92187477089465,
,,,-0.995019,-1.92187477089465,
,,,-0.994987,-1.92187477089465,
,,,-0.994955,-1.92187477089465,
,,,-0.994923,-1.92187477089465,
,,,-0.994891,-1.92187477089465,
,,,-0.994859,-1.92187477089465,
,,,-0.994827,-1.92187477089465,
,,,-0.994795,-1.92187477089465,
,,,-0.994763,-1.92187477089465,
,,,-0.994731,-1.92187477089465,
,,,-0.994699,-1.92187477089465,
,,,-0.994667,-1.92187477089465,
,,,-0.994635,-1.92187477089465,
,,,-0.994603,-1.92187477089465,
,,,-0.994571,-1.92187477089465,
,,,-0.994539,-1.92187477089465,
,,,-0.994507,-1.92187477089465,
,,,-0.994475,-1.92187477089465,
,,,-0.994443,-1.92187477089465,
,,,-0.994411,-1.92187477089465,
,,,-0.994379,-1.92187477089465,
,,,-0.994347,-1.92187477089465,
,,,-0.994315,-1.92187477089465,
,,,-0.994283,-1.92187477089465,
,,,-0.994251,-1.92187477089465,
,,,-0.994219,-1.92187477089465,
,,,-0.994187,-1.92187477089465,
,,,-0.994155,-1.92187477089465,
,,,-0.994123,-1.92187477089465,
,,,-0.994091,-1.92187477089465,
,,,-0.994059,-1.92187477089465,
,,,-0.994027,-1.92187477089465,
,,,-0.993995,-1.92187477089465,
,,,-0.993963,-1.92187477089465,
,,,-0.993931,-1.92187477089465,
,,,-0.993899,-1.92187477089465,
,,,-0.993867,-1.92187477089465,
,,,-0.993835,-1.92187477089465,
,,,-0.993803,-1.92187477089465,
,,,-0.993771,-1.92187477089465,
,,,-0.993739,-1.92187477089465,
,,,-0.993707,-1.92187477089465,
,,,-0.993675,-1.92187477089465,
,,,-0.993643,-1.92187477089465,
,,,-0.993611,-1.92187477089465,
,,,-0.993579,-1.92187477089465,
,,,-0.993547,-1.92187477089465,
,,,-0.993515,-1.92187477089465,
,,,-0.993483,-1.92187477089465,
,,,-0.993451,-1.92187477089465,
,,,-0.993419,-1.92187477089465,
,,,-0.993387,-1.92187477089465,
,,,-0.993355,-1.92187477089465,
,,,-0.993323,-1.92187477089465,
,,,-0.993291,-1.92187477089465,
,,,-0.993259,-1.92187477089465,
,,,-0.993227,-1.92187477089465,
,,,-0.993195,-1.92187477089465,
,,,-0.993163,-1.92187477089465,
,,,-0.993131,-1.92187477089465,
,,,-0.993099,-1.92187477089465,
,,,-0.993067,-1.92187477089465,
,,,-0.993035,-1.92187477089465,
,,,-0.993003,-1.92187477089465,
,,,-0.992971,-1.92187477089465,
,,,-0.992939,-1.92187477089465,
,,,-0.992907,-1.92187477089465,
,,,-0.992875,-1.92187477089465,
,,,-0.992843,-1.92187477089465,
,,,-0.992811,-1.92187477089465,
,,,-0.992779,-1.92187477089465,
,,,-0.992747,-1.92187477089465,
,,,-0.992715,-1.92187477089465,
,,,-0.992683,-1.92187477089465,
,,,-0.992651,-1.92187477089465,
,,,-0.992619,-1.92187477089465,
,,,-0.992587,-1.92187477089465,
,,,-0.992555,-1.92187477089465,
,,,-0.992523,-1.92187477089465,
,,,-0.992491,-1.92187477089465,
,,,-0.992459,-1.92187477089465,
,,,-0.992427,-1.92187477089465,
,,,-0.992395,-1.92187477089465,
,,,-0.992363,-1.92187477089465,
,,,-0.992331,-1.92187477089465,
,,,-0.992299,-1.92187477089465,
,,,-0.992267,-1.92187477089465,
,,,-0.992235,-1.92187477089465,
,,,-0.992203,-1.92187477089465,
,,,-0.992171,-1.92187477089465,
,,,-0.992139,-1.92187477089465,
,,,-0.992107,-1.92187477089465,
,,,-0.992075,-1.92187477089465,
,,,-0.992043,-1.92187477089465,
,,,-0.992011,-1.86328102787957,
,,,-0.991979,-1.60156230907887,
,,,-0.991947,-1.32226546737365,
,,,-0.991915,-1.02148425322957,
,,,-0.991883,-0.701171791413799,
,,,-0.991851,-0.341796834254637,
,,,-0.991819,0.0195312476716936,
,,,-0.991787,0.298828089376912,
,,,-0.991755,0.599609303520992,
,,,-0.991723,0.93945301300846,
,,,-0.991691,1.36132796271704,
,,,-0.991659,1.70117167220451,
,,,-0.991627,2.00195288634859,
,,,-0.991595,2.3007809757255,
,,,-0.991563,2.54101532208733,
,,,-0.991531,2.70117155299522,
,,,-0.991499,2.74218717310578,
,,,-0.991467,2.70117155299522,
,,,-0.991435,2.78124966844916,
,,,-0.991403,2.98242151946761,
,,,-0.991371,3.16210899804719,
,,,-0.991339,3.16210899804719,
,,,-0.991307,3.16210899804719,
,,,-0.991275,3.16210899804719,
,,,-0.991243,3.16210899804719,
,,,-0.991211,3.16210899804719,
,,,-0.991179,3.16210899804719,
,,,-0.991147,3.16210899804719,
,,,-0.991115,3.16210899804719,
,,,-0.991083,3.16210899804719,
,,,-0.991051,3.04296838724986,
,,,-0.991019,2.68164030532353,
,,,-0.990987,2.02148413402028,
,,,-0.990955,1.33984359027818,
,,,-0.990923,0.640624923631549,
,,,-0.990891,-0.06054686778225,
,,,-0.990859,-0.822265526978299,
,,,-0.990827,-1.42187483049929,
,,,-0.990795,-1.82226540776901,
,,,-0.990763,-1.92187477089465,
,,,-0.990731,-1.92187477089465,
,,,-0.990699,-1.92187477089465,
,,,-0.990667,-1.92187477089465,
,,,-0.990635,-1.92187477089465,
,,,-0.990603,-1.92187477089465,
,,,-0.990571,-1.92187477089465,
,,,-0.990539,-1.92187477089465,
,,,-0.990507,-1.92187477089465,
,,,-0.990475,-1.92187477089465,
,,,-0.990443,-1.92187477089465,
,,,-0.990411,-1.92187477089465,
,,,-0.990379,-1.92187477089465,
,,,-0.990347,-1.92187477089465,
,,,-0.990315,-1.92187477089465,
,,,-0.990283,-1.92187477089465,
,,,-0.990251,-1.92187477089465,
,,,-0.990219,-1.92187477089465,
,,,-0.990187,-1.92187477089465,
,,,-0.990155,-1.92187477089465,
,,,-0.990123,-1.92187477089465,
,,,-0.990091,-1.92187477089465,
,,,-0.990059,-1.92187477089465,
,,,-0.990027,-1.92187477089465,
,,,-0.989995,-1.92187477089465,
,,,-0.989963,-1.92187477089465,
,,,-0.989931,-1.92187477089465,
,,,-0.989899,-1.92187477089465,
,,,-0.989867,-1.92187477089465,
,,,-0.989835,-1.92187477089465,
